context_id	word	gold_sense_id	predict_sense_id	positions	context
1	дар	1		18-22	отвергать щедрый дар
2	дар	1		21-28	покупать преданность дар награда
3	дар	1		19-23	яд последний дар изор
4	дар	1		81-87	основной функция корильный песня повеселить участник свадьба побуждать дар
5	дар	1		151-157	неделя алевтина когда-то просить отправлять рабочий изящный шкафчик счет конечно приложить извинять дар
6	дар	1		95-99	мать ревекка приберегать кусок праздник печь калека любимый блюдо сиять гордость дар бедный бедный богатство
7	дар	1		205-210	время время лидия михайловна «доставала» штаны пресловутый шкаф хотеться чувствовать долг надо благодарный вправду нужный дар делать спрос
8	дар	1		80-84	недавно приезжать оргеев посол рф молдавия павел петровский передавать школа дар правительство москва учебник
9	дар	2.1		18-22	жизнь бесценный дар
10	дар	2.1		25-29	любовь настоящий дар судьба
11	дар	2.1		18-23	неисчислимый божий дар
12	дар	2.1		0-4,15-19	дар напрасный дар случайный жизнь зачем давать
13	дар	2.1		70-75	господин восклицать вдруг сердце смотреть кругом дар божий небо ясный воздух чистый травка нежный
14	дар	2.1		82-87	слишком многое ожидать слишком многое требовать жизнь скупой дар
15	дар	2.1		67-71	выглядеть жертва высший реальность дар
16	дар	2.1		36-40	смерть любимый дорогой человек дар помогать понимать важный здесь
17	дар	2.1		31-35,112-116	пенсия счастливый дар судьба продолжать сергей николаевич нимало понимать дар заработать расчетливо утаить государство
18	дар	2.1		81-88	каждый год множиться число любить пострелять попользоваться дичь дар природа почти голодный стол
19	дар	2.1		36-41	труд тысяча тысяча мастер лучший дар земля стоять лежать висеть
20	дар	2.1		103-108	так завтрак еще лагуна прелесть воскликнуть наташа прямо вода свегий дар море
21	дар	2.1		43-49	время охота рыболовство собирание дар лес число гриб забава быт повседневность жизнь
22	дар	2.1		0-5	дар тайга вымениваться продукт морской промысел
23	дар	2.1		91-97	другой беспрерывно шлёпаться лодка золотистый карась прохор привыкать дар угрюмый -рек удивляться
24	дар	2.3		0-4	дар оратор
25	дар	2.3		20-24	детство дар передразнивать знакомый
26	дар	2.3		128-132	писатель творить литература как исполнять улавливать сигнал чувствительность род сигнал божий дар
27	дар	2.3		71-77	потому-то оказываться сломить конец день обладать даром хороший крестьянин большой художник извлекать удовольствие сам работа ждать часто обманчивый плод
28	дар	2.3		82-86	так начинать день открываться павел алексеевич странный полезный дар называть «внутривидением»
29	дар	2.3		55-61	считать андрей иванович обладать необыкновенный даром «выведывать мысли»
30	дар	2.3		8-12	ученый дар рассказчик казаться нужда какой-то образ входить научный талант
31	дар	2.3		15-20,37-43	выносить дар подводить дар тотчас «беснование» прекращаться больной успокаиваться
32	дар	2.3		104-111	конец приписка священник приезжать исповедовать больная глухый исповедь приобщить запасной дар
33	дар	2.3		55-62,128-133	предупреждать заедть костел святой дар причащение умирать человек везти святой дар нельзя разговаривать
34	дар	2.3		46-52	мочь служить обедня нет дар епитрахиль
